polygon_id,sw_lng,sw_lat,ne_lng,ne_lat,number_of_observations,number_of_observers,number_of_species
1,-82.08095552448546,29.655753114618477,-81.97079150469855,29.751927853318968,18485,646,1373
2,-84.86228922141896,29.831959388182362,-84.74950814229953,29.930242860934136,867,207,344
3,-85.09056748561396,30.10474873371298,-84.97725832375671,30.203218342646124,2030,306,552
4,-81.80826831621705,29.45033182971216,-81.69858060730137,29.546288070337297,1082,186,567
5,-82.02803119797179,26.854616678433388,-81.92083929973089,26.95072014752712,4416,515,869
6,-83.15264972456804,29.38882948162139,-83.04183756503139,29.485828318282614,68,32,55
7,-83.00024949479884,29.902654920282856,-82.88897609916405,29.999555676274174,236,108,174
8,-80.8318054282664,26.274273134835447,-80.72577223522873,26.369826864645034,449,75,229
9,-83.72301110986687,30.46963008460674,-83.61041691685314,30.567111241079477,50,22,45
10,-81.50503098541716,28.758401059382596,-81.39636064443232,28.854116550972847,8051,617,1419
11,-81.51359968260108,29.230546881407548,-81.40441975232265,29.32626769827097,206,54,175
12,-82.13948972239412,29.01711562075931,-82.0299782696585,29.11332876775341,1224,246,529
13,-82.13467034463561,27.366665320326504,-82.02688623749853,27.462852977774737,359,77,209
14,-82.47721883426773,29.364330710310536,-82.36702534987158,29.460811742168268,804,279,416
15,-80.56917909380493,26.151776600763096,-80.46304675211033,26.247521630987798,125,48,90
16,-85.0706329855651,30.434130164452714,-84.95692256635225,30.532613508871457,3162,410,866
17,-83.8655407778196,30.449640426917014,-83.75284543163527,30.547229364885794,93,31,72
18,-81.23429596692465,25.69104673456317,-81.12882089911041,25.786576371304765,136,62,80
19,-80.4017913657891,26.702197467814567,-80.29500810592648,26.79806493034588,1272,239,383
20,-80.74318270148873,25.815525911608695,-80.63749487953959,25.91114662748253,75,32,56
21,-81.91576186447817,30.12904210060245,-81.8052150829746,30.225088378097432,3403,284,1209
22,-82.82466837351937,30.055748642166,-82.713372860403,30.152517653361063,420,51,300
23,-80.89700227245775,26.68682587933388,-80.79064053957474,26.78232810609333,675,97,244
24,-82.99627587503021,29.568628046439763,-82.88539332897001,29.66551443779668,791,269,386
25,-87.00383039345971,30.58785465443353,-86.8883581859291,30.687703276000914,618,187,392
26,-85.40514389267717,30.720960813900142,-85.29078272535205,30.819711599481295,317,91,217
27,-81.96273712625221,29.31177814302428,-81.85306154888828,29.40785602649803,529,103,334
28,-81.5453690983043,30.07473431014881,-81.4352315726395,30.17047838710587,2792,454,1033
29,-81.64942507180386,29.679337470585313,-81.53963087674401,29.775166768266597,3525,83,1104
30,-81.47880718921793,29.337690077347656,-81.36954361991774,29.43338260620173,443,67,253
31,-81.56477911416428,28.87908968881417,-81.45592792773766,28.974852035824235,766,172,419
32,-81.23136853461092,28.62089206771539,-81.12308700628377,28.716392085619436,15505,1237,1811
33,-80.87300774976902,28.519358334136186,-80.76482739306094,28.61486237230299,7304,923,1326
34,-80.92386060942289,27.499277698170626,-80.81674611539594,27.59475187250184,161,47,129
35,-81.54671923202513,27.529458017931084,-81.4392647186892,27.625208534021578,5995,479,951
36,-80.98054832203862,28.66546753427168,-80.87231431944579,28.76088461980672,1681,215,587
37,-82.01534859420099,27.578279714917986,-81.90745084382971,27.67438176159986,281,63,184
38,-80.79380992230277,25.64508322186708,-80.68831449252824,25.740668602537376,4708,867,419
39,-85.63669220519999,30.301154503842927,-85.52268557430973,30.40003017071665,331,68,230
40,-80.57712872685816,25.57770216202283,-80.4715234003761,25.673441715672997,2186,386,777
41,-82.05172266267277,30.212198884357008,-81.94095376018615,30.308355957533525,206,89,150
42,-80.43776066258971,25.601168000713542,-80.33202590665591,25.69700580826551,42094,3542,2035
43,-81.22808058664577,26.83860086702843,-81.12156089062033,26.93411560458824,83,42,66
44,-82.70565510237039,29.868330609265342,-82.59468461669445,29.96500136957713,501,244,281
45,-82.93201439698247,30.187948029113,-82.8204665845054,30.284805061090637,199,42,161
46,-80.93812358473986,25.326712194408522,-80.83302134303433,25.422197240497738,1153,477,360
47,-81.8897660765081,26.784257014904085,-81.78275417378552,26.880259495158555,1378,191,491
48,-81.40701939529939,28.060223751271884,-81.29915484220668,28.1558656380966,1283,245,470
49,-86.41644462696628,30.550143267047144,-86.30148436245115,30.64958853480237,165,54,111
50,-81.34160567749443,25.934327929550907,-81.23582750608276,26.029932945089918,2650,488,647
51,-81.00024408868033,26.107193998627714,-80.894499639468,26.2026259388065,809,79,309
52,-81.13942259818012,27.626037646296858,-81.03222222703386,27.72147671847546,79,46,63
53,-81.88598673356377,27.860642652860232,-81.7779120220138,27.956650293680806,1676,228,599
54,-80.68537576801961,27.18553686691148,-80.578362977093,27.281194187772524,359,60,218
55,-82.39006683224243,28.71553715538899,-82.28066330907332,28.811938130541687,2704,275,889
56,-83.98509826044084,30.156293614244888,-83.87265862924487,30.253956351524497,596,122,347
57,-81.14827413164802,27.8966150315238,-81.04079951126745,27.992057733689116,2750,261,797
58,-85.70187624367934,30.65992048171116,-85.58734879477342,30.75887804226975,309,45,181
59,-82.0802288462678,28.298106933550994,-81.97153654332351,28.394265751967104,3519,259,915
60,-81.45285666931093,27.960138411565534,-81.34505315005488,28.05581613542757,642,209,357
61,-82.37985660291622,27.378500280597606,-82.27185964062507,27.474867376879214,1330,252,533
62,-81.89528357030517,27.372261000901617,-81.78769195938847,27.468272034064505,244,28,170
63,-84.90628200592465,30.394590667282134,-84.79275991043585,30.492951283408363,1289,213,542
64,-83.10844438614531,30.264692301699156,-82.99664658523864,30.36168969638283,126,51,105
65,-84.7523774248778,30.442663626499296,-84.63892444582663,30.540915420172595,184,55,145
66,-82.14678266777156,27.83935101730789,-82.03850935384523,27.935554121962486,1558,245,544
67,-84.69891654649494,30.045225475600148,-84.58600687422715,30.143407817203514,392,117,234
68,-81.78557940158275,28.152986763344856,-81.67729159321026,28.24891978821375,1555,214,633
69,-81.77667294152573,27.679287823770803,-81.66887425776764,27.775212041739245,109,35,78
70,-82.77751196504664,30.47465298224554,-82.66576406726745,30.571396755850525,73,26,58
71,-80.86906623220226,27.2092290916546,-80.76218568769178,27.3047477026708,759,155,376
72,-82.85937656462173,29.746275766362924,-82.74840996225431,29.843062555011844,203,75,157
73,-82.462235287812,27.640888692160175,-82.35390345165911,27.737321401583216,5619,690,1465
74,-83.0693316780577,29.665190738899504,-82.95827363806016,29.762136392686227,115,30,103
75,-80.24660334004494,25.91544620410381,-80.14043372080641,26.011420442404972,8987,1314,1066
76,-80.95783194661666,26.925870235056095,-80.85129637963058,27.02132455675525,13,10,12
77,-80.53367431135513,25.872166124234603,-80.42776957275355,25.967936569253705,286,81,198
78,-82.00840735797536,26.55366770228059,-81.90152139767164,26.64975367805783,3883,1065,807
79,-82.40293303106039,27.102526054562496,-82.2951945439588,27.19890422514426,5941,447,1127
80,-82.1931076184644,30.072219557088548,-82.08236848875363,30.168488836246915,80,21,66
81,-87.08566016797849,30.455903588225105,-86.97030379756075,30.55578917327683,2180,270,698
82,-87.42274436608388,30.7710668951556,-87.30669758468751,30.871219743458276,1023,49,408
83,-81.94322814410432,28.337931901271354,-81.83461233189102,28.43398666630054,566,70,307
84,-86.5729917309675,30.850855444833094,-86.45750154726167,30.950444493533976,183,34,144
85,-83.68946636424586,30.142449746016176,-83.57730050816058,30.239888636622684,108,33,92
86,-87.20468021620603,30.899028816740106,-87.0886248275306,30.999054130108444,150,28,127
87,-80.3756219465688,26.876479686782208,-80.26865028707192,26.972367018356078,3088,208,689
88,-81.32119520261085,28.335090431580245,-81.21312696926654,28.430663748529465,2401,675,764
89,-82.22392876598927,26.989647143831576,-82.11644648990239,27.085894164720084,3280,468,918
90,-81.76193230361554,29.096547128523227,-81.65267158506884,29.192465311455702,1765,434,635
91,-81.05935031166482,27.04587068085214,-80.95273667718581,27.141256042991877,50,13,44
92,-82.26954480661453,29.744606548665214,-82.15910933100824,29.84093192580929,2307,421,955
93,-82.95487853056723,30.357951754786207,-82.8431080572678,30.454832162245072,434,171,265
94,-81.61421180647159,27.168596927169062,-81.50705430492783,27.264398266596913,84,43,65
95,-81.53632531387332,26.24650351441578,-81.4301060974948,26.34224799082262,5876,158,917
96,-82.33397156542503,30.372523096343514,-82.2227539294341,30.468910025537117,109,53,91
97,-83.27389227488463,30.045578856317515,-83.16220788803608,30.14269590538771,485,99,307
98,-82.25720467034608,27.826727833662886,-82.14885177478364,27.92301295153377,7561,727,1164
99,-84.93978217281976,30.281563576218602,-84.82637514203836,30.37993935597965,800,180,365
100,-81.2545089439243,26.048033390133305,-81.14869776144171,26.143574583129134,351,141,180
